fecha,metro,metrobus,tren_ligero,trolebus,rtp,ecobici,mexibus,mexicable,tren_suburbano
19/08/2020,-49.59608993,-56.43012395,-79.91266288,-48.20854001,-39.32745323,-66.68433116,-44.51077755,-30.82636621,-58.03725186
20/08/2020,-50.50871746,-56.25984752,-82.32091207,-48.44510199,-40.01622239,-69.90763473,-44.52884258,-29.65550975,-58.93807741
21/08/2020,-48.90657897,-55.86272274,-82.49325782,-45.25170535,-38.24026169,-61.88740329,-44.45884718,-31.4078709,-59.85842266
22/08/2020,-45.13791695,-49.49182332,-78.20781399,-44.78280408,-38.0921215,-38.88191964,-34.39903733,-26.97750735,-44.30083084
23/08/2020,-48.09298791,-47.45542944,-75.75637433,-53.22325022,-46.67664818,-47.32136431,-35.8240971,-27.38208955,-43.9363656
24/08/2020,-47.20366773,-55.0259601,-83.97071665,-47.12630722,-41.10358589,-71.45216563,-42.15889733,-31.02921785,-60.00981143
25/08/2020,-49.75226439,-57.09588512,-83.40908976,-47.24098592,-41.42381777,-67.09025994,-47.23640909,-32.56290642,-61.25196517
26/08/2020,-49.95129111,-56.20828927,-84.3950543,-47.34171331,-40.33860304,-66.98747047,-45.28879156,-33.71129212,-60.2183766
27/08/2020,-50.10895533,-56.78975316,-83.69261895,-48.39822181,-41.18123494,-68.68744748,-45.77453079,-33.7852002,-60.26851879
28/08/2020,-48.97712513,-54.51808206,-83.76859697,-44.22082044,-37.70094171,-66.99189491,-43.80883542,-30.99291948,-59.70510625
29/08/2020,-43.55668921,-48.3279046,-79.99953203,-45.49100448,-39.17476064,-46.32309838,-33.35182323,-24.78977234,-43.66293976
30/08/2020,-46.60491366,-50.64383192,-82.11405205,-52.65972191,-47.28523127,-45.62914986,-36.07189515,-25.79701493,-43.90395419
31/08/2020,-46.58225859,-51.88912469,-81.67253702,-42.58170389,-38.72617915,-69.00358379,-39.7417852,-26.67777084,-57.86261846
01/09/2020,-47.7938951,-53.54042445,-83.65429092,-43.25297944,-37.54411517,-65.08772699,-43.52368579,-28.53406842,-59.36699466
02/09/2020,-48.290247,-53.98028506,-82.46554806,-46.35305888,-38.69961512,-64.62166588,-42.93345354,-27.33861997,-58.26545382
03/09/2020,-47.97564509,-54.85012416,-83.9677879,-45.14638422,-38.01807709,-64.94308165,-43.54672657,-28.39773601,-58.97294998
04/09/2020,-47.68947704,-54.1332791,-82.22918278,-43.45135919,-36.12229078,-63.54539297,-44.59997493,-30.14325704,-58.44517926
05/09/2020,-44.47899153,-48.16246965,-80.91351972,-45.65328482,-37.89506476,-48.78850402,-32.4696762,-24.20865523,-43.51756403
06/09/2020,-49.14336166,-47.0078607,-79.12642154,-51.4907419,-45.28538733,-49.67354239,-37.52454802,-26.9880597,-45.153414
07/09/2020,-44.74891293,-51.17478447,-82.07507396,-41.81364916,-35.93789887,-66.50169466,-39.80817895,-26.55978902,-58.02757981
08/09/2020,-48.26100828,-53.86030975,-81.39988873,-46.35778397,-38.80426502,-66.27788013,-44.9697824,-30.66157761,-59.69472309
09/09/2020,-47.65081148,-53.85502465,-84.15450578,-47.15865278,-39.975372,-63.84404766,-43.23514692,-29.77143062,-58.55387574
10/09/2020,-49.01340199,-52.07619387,-82.29298138,-46.20182186,-40.76670308,-68.61369989,-44.00665122,-29.34106631,-58.90478996
11/09/2020,-47.42699555,-53.44339137,-83.19643438,-42.71666858,-35.34344773,-60.8749713,-42.27119535,-31.75037049,-58.36928005
